country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ukraine,"20,914","21,190","11,633","14,156","22,745","17,140","11,001","10,813","11,223","8,477",8292,7642,8193,7752,7987,10422,10135,11879,11762
United Arab Emirates,460,472,380,586,812,"1,006",758,693,697,779,707,854,910,1039,1193,1370,1314,1379,1586
United Kingdom,"18,278","16,297","9,527","14,915","19,800","17,207","14,545","14,348","15,748","12,792",11572,12014,12984,12225,12592,12673,10948,9908,11337
United States,63,64,32,57,183,333,171,216,181,201,269,279,319,358,370,468,409,306,262
Uruguay,541,536,469,787,"1,154","1,664","1,418","1,451","1,775","1,331",1553,1374,1352,1128,1078,972,1001,960,1109
Uzbekistan,"2,031","2,317","1,445","1,995","2,887","4,015","4,665","6,375","5,467","4,770",5056,4726,4382,5194,3977,4359,4095,4612,2550
Venezuela,"5,170","5,228","4,018","6,220","10,645","11,341","10,692","10,514","11,154","9,409",9183,9387,9572,8427,9144,10772,11809,11762,15720
Vietnam,"35,419","33,563","22,087","31,524","32,784","30,691","28,691","31,497","29,234","30,632",34157,28304,27101,30283,30832,41451,38231,33834,39712
Yemen,"1,607","1,227","1,382","1,760","3,366","4,308","2,396","1,872","3,134","3,591",3361,2620,3532,3492,3194,13040,6029,1885,3717
Zambia,295,308,280,359,499,672,576,613,704,628,652,643,505,441,460,487,537,477,511
Zimbabwe,475,484,358,628,923,"1,049","1,057",953,983,"1,274",1016,914,924,797,779,815,810,749,758
All other countries,42,52,32,33,52,40,28,25,40,28,0,0,0,0,0,0,0,0,0
Unknown,"2,311","2,622","1,201","3,227","5,303","2,734","1,394","1,394","1,366","1,330",1245,1206,3263,1150,677,1724,1468,1151,1144
